"plate","true_rep","isolate","time","value","Blank_Replicate"
"Plate 1","Dulse 1","1",2,0.00933333333333333,0.101666666666667
"Plate 1","Dulse 1","1",4,0.019,0.101333333333333
"Plate 1","Dulse 1","1",6,0.0376666666666667,0.102666666666667
"Plate 1","Dulse 1","1",8,0.0746666666666667,0.101666666666667
"Plate 1","Dulse 1","1",10,0.125,0.0903333333333333
"Plate 1","Dulse 1","1",12,0.140666666666667,0.092
"Plate 1","Dulse 1","1",14,0.158666666666667,0.0966666666666667
"Plate 1","Dulse 1","1",16,0.161,0.0916666666666667
"Plate 1","Dulse 1","10",2,0.016,0.101666666666667
"Plate 1","Dulse 1","10",4,0.034,0.101333333333333
"Plate 1","Dulse 1","10",6,0.0806666666666667,0.102666666666667
"Plate 1","Dulse 1","10",8,0.123333333333333,0.101666666666667
"Plate 1","Dulse 1","10",10,0.107,0.0903333333333333
"Plate 1","Dulse 1","10",12,0.0733333333333333,0.092
"Plate 1","Dulse 1","10",14,0.0776666666666667,0.0966666666666667
"Plate 1","Dulse 1","10",16,0.065,0.0916666666666667
"Plate 1","Dulse 1","11",2,0.0153333333333333,0.101666666666667
"Plate 1","Dulse 1","11",4,0.035,0.101333333333333
"Plate 1","Dulse 1","11",6,0.0646666666666667,0.102666666666667
"Plate 1","Dulse 1","11",8,0.139,0.101666666666667
"Plate 1","Dulse 1","11",10,0.142,0.0903333333333333
"Plate 1","Dulse 1","11",12,0.13,0.092
"Plate 1","Dulse 1","11",14,0.140666666666667,0.0966666666666667
"Plate 1","Dulse 1","11",16,0.130333333333333,0.0916666666666667
"Plate 1","Dulse 1","12",2,0.0193333333333333,0.101666666666667
"Plate 1","Dulse 1","12",4,0.0336666666666667,0.101333333333333
"Plate 1","Dulse 1","12",6,0.0643333333333333,0.102666666666667
"Plate 1","Dulse 1","12",8,0.0896666666666667,0.101666666666667
"Plate 1","Dulse 1","12",10,0.0926666666666667,0.0903333333333333
"Plate 1","Dulse 1","12",12,0.109333333333333,0.092
"Plate 1","Dulse 1","12",14,0.115,0.0966666666666667
"Plate 1","Dulse 1","12",16,0.105,0.0916666666666667
"Plate 1","Dulse 1","13",2,0.015,0.101666666666667
"Plate 1","Dulse 1","13",4,0.0213333333333333,0.101333333333333
"Plate 1","Dulse 1","13",6,0.032,0.102666666666667
"Plate 1","Dulse 1","13",8,0.079,0.101666666666667
"Plate 1","Dulse 1","13",10,0.132333333333333,0.0903333333333333
"Plate 1","Dulse 1","13",12,0.113666666666667,0.092
"Plate 1","Dulse 1","13",14,0.129333333333333,0.0966666666666667
"Plate 1","Dulse 1","13",16,0.123333333333333,0.0916666666666667
"Plate 1","Dulse 1","14",2,0.00566666666666667,0.101666666666667
"Plate 1","Dulse 1","14",4,0.0303333333333334,0.101333333333333
"Plate 1","Dulse 1","14",6,0.0816666666666667,0.102666666666667
"Plate 1","Dulse 1","14",8,0.137,0.101666666666667
"Plate 1","Dulse 1","14",10,0.111333333333333,0.0903333333333333
"Plate 1","Dulse 1","14",12,0.116333333333333,0.092
"Plate 1","Dulse 1","14",14,0.113333333333333,0.0966666666666667
"Plate 1","Dulse 1","14",16,0.106333333333333,0.0916666666666667
"Plate 1","Dulse 1","15",2,0.00599999999999999,0.101666666666667
"Plate 1","Dulse 1","15",4,0.0146666666666667,0.101333333333333
"Plate 1","Dulse 1","15",6,0.033,0.102666666666667
"Plate 1","Dulse 1","15",8,0.0836666666666667,0.101666666666667
"Plate 1","Dulse 1","15",10,0.120333333333333,0.0903333333333333
"Plate 1","Dulse 1","15",12,0.0943333333333333,0.092
"Plate 1","Dulse 1","15",14,0.0986666666666667,0.0966666666666667
"Plate 1","Dulse 1","15",16,0.101333333333333,0.0916666666666667
"Plate 1","Dulse 1","2",2,0.00266666666666666,0.101666666666667
"Plate 1","Dulse 1","2",4,0.0106666666666667,0.101333333333333
"Plate 1","Dulse 1","2",6,0.013,0.102666666666667
"Plate 1","Dulse 1","2",8,0.0566666666666667,0.101666666666667
"Plate 1","Dulse 1","2",10,0.049,0.0903333333333333
"Plate 1","Dulse 1","2",12,0.0406666666666667,0.092
"Plate 1","Dulse 1","2",14,0.048,0.0966666666666667
"Plate 1","Dulse 1","2",16,0.0683333333333333,0.0916666666666667
"Plate 1","Dulse 1","3",2,0.0186666666666667,0.101666666666667
"Plate 1","Dulse 1","3",4,0.0306666666666667,0.101333333333333
"Plate 1","Dulse 1","3",6,0.046,0.102666666666667
