"plate","true_rep","isolate","time","value","Blank_Replicate"
"Plate 1","Fucus 1","1",2,0.0123333333333333,0.161
"Plate 1","Fucus 1","1",4,-0.00900000000000001,0.183666666666667
"Plate 1","Fucus 1","1",6,0.0363333333333333,0.148666666666667
"Plate 1","Fucus 1","1",8,0.0573333333333333,0.143666666666667
"Plate 1","Fucus 1","1",10,0.088,0.148666666666667
"Plate 1","Fucus 1","1",12,0.135,0.159666666666667
"Plate 1","Fucus 1","1",14,0.154666666666667,0.152
"Plate 1","Fucus 1","1",16,0.172666666666667,0.141666666666667
"Plate 1","Fucus 1","10",2,-0.00866666666666668,0.161
"Plate 1","Fucus 1","10",4,-0.032,0.183666666666667
"Plate 1","Fucus 1","10",6,-0.001,0.148666666666667
"Plate 1","Fucus 1","10",8,0.0116666666666667,0.143666666666667
"Plate 1","Fucus 1","10",10,0.0136666666666667,0.148666666666667
"Plate 1","Fucus 1","10",12,0.04,0.159666666666667
"Plate 1","Fucus 1","10",14,0.0233333333333333,0.152
"Plate 1","Fucus 1","10",16,0.0546666666666667,0.141666666666667
"Plate 1","Fucus 1","11",2,-0.0123333333333333,0.161
"Plate 1","Fucus 1","11",4,-0.033,0.183666666666667
"Plate 1","Fucus 1","11",6,0.00133333333333333,0.148666666666667
"Plate 1","Fucus 1","11",8,0,0.143666666666667
"Plate 1","Fucus 1","11",10,-0.00333333333333335,0.148666666666667
"Plate 1","Fucus 1","11",12,0.000666666666666677,0.159666666666667
"Plate 1","Fucus 1","11",14,0.0186666666666667,0.152
"Plate 1","Fucus 1","11",16,0.0463333333333333,0.141666666666667
"Plate 1","Fucus 1","12",2,-0.00666666666666668,0.161
"Plate 1","Fucus 1","12",4,0.00333333333333333,0.183666666666667
"Plate 1","Fucus 1","12",6,0.0533333333333333,0.148666666666667
"Plate 1","Fucus 1","12",8,0.0823333333333333,0.143666666666667
"Plate 1","Fucus 1","12",10,0.105,0.148666666666667
"Plate 1","Fucus 1","12",12,0.145,0.159666666666667
"Plate 1","Fucus 1","12",14,0.124333333333333,0.152
"Plate 1","Fucus 1","12",16,0.139,0.141666666666667
"Plate 1","Fucus 1","13",2,0.001,0.161
"Plate 1","Fucus 1","13",4,-0.00666666666666668,0.183666666666667
"Plate 1","Fucus 1","13",6,0.000333333333333324,0.148666666666667
"Plate 1","Fucus 1","13",8,0.0213333333333333,0.143666666666667
"Plate 1","Fucus 1","13",10,0.0243333333333333,0.148666666666667
"Plate 1","Fucus 1","13",12,0.0216666666666667,0.159666666666667
"Plate 1","Fucus 1","13",14,0.0243333333333333,0.152
"Plate 1","Fucus 1","13",16,0.0676666666666667,0.141666666666667
"Plate 1","Fucus 1","14",2,-0.00866666666666668,0.161
"Plate 1","Fucus 1","14",4,-0.0353333333333334,0.183666666666667
