sample-id	Rep	Agar	Microbiome
#q2:types	categorical	categorical	categorical
Blank_1	Blank	Blank	Blank
Blank_2	Blank	Blank	Blank
S1_PPxPP	PPxPP	Palmaria	Palmaria
S10_PPxOP	PPxOP	Palmaria	Osmundea
S100_IRxOP	IRxOP	Chondrus	Osmundea
S101_IRxCE	IRxCE	Chondrus	Ceramium
S102_IRxCE	IRxCE	Chondrus	Ceramium
S103_IRxCE	IRxCE	Chondrus	Ceramium
S104_IRxIR	IRxIR	Chondrus	Chondrus
S105_IRxIR	IRxIR	Chondrus	Chondrus
S106_IRxIR	IRxIR	Chondrus	Chondrus
S109_IRxOP	IRxOP	Chondrus	Osmundea
S11_PPxOP	PPxOP	Palmaria	Osmundea
S110_IRxOP	IRxOP	Chondrus	Osmundea
S12_PPxOP	PPxOP	Palmaria	Osmundea
S13_PPxCE	PPxCE	Palmaria	Ceramium
S14_PPxCE	PPxCE	Palmaria	Ceramium
S15_PPxCE	PPxCE	Palmaria	Ceramium
S16_PPxIR	PPxIR	Palmaria	Chondrus
S17_PPxIR	PPxIR	Palmaria	Chondrus
S18_PPxIR	PPxIR	Palmaria	Chondrus
S19_BExPP	BExPP	Lomentaria	Palmaria
S2_PPxPP	PPxPP	Palmaria	Palmaria
S20_BExPP	BExPP	Lomentaria	Palmaria
S21_BExPP	BExPP	Lomentaria	Palmaria
S22_BExBE	BExBE	Lomentaria	Lomentaria
S23_BExBE	BExBE	Lomentaria	Lomentaria
S24_BExBE	BExBE	Lomentaria	Lomentaria
S25_BExFE	BExFE	Lomentaria	Calliblepharis
S26_BExFE	BExFE	Lomentaria	Calliblepharis
S27_BExFE	BExFE	Lomentaria	Calliblepharis
S28_BExOP	BExOP	Lomentaria	Osmundea
S29_BExOP	BExOP	Lomentaria	Osmundea
S3_PPxPP	PPxPP	Palmaria	Palmaria
S30_BExOP	BExOP	Lomentaria	Osmundea
S31_BExCE	BExCE	Lomentaria	Ceramium
S32_BExCE	BExCE	Lomentaria	Ceramium
S33_BExCE	BExCE	Lomentaria	Ceramium
S34_BExIR	BExIR	Lomentaria	Chondrus
S35_BExIR	BExIR	Lomentaria	Chondrus
S36_BExIR	BExIR	Lomentaria	Chondrus
S37_FExPP	FExPP	Calliblepharis	Palmaria
S38_FExPP	FExPP	Calliblepharis	Palmaria
S39_FExPP	FExPP	Calliblepharis	Palmaria
S4_PPxBE	PPxBE	Palmaria	Lomentaria
S40_FExBE	FExBE	Calliblepharis	Lomentaria
S41_FExBE	FExBE	Calliblepharis	Lomentaria
S42_FExBE	FExBE	Calliblepharis	Lomentaria
S43_FExFE	FExFE	Calliblepharis	Calliblepharis
S44_FExFE	FExFE	Calliblepharis	Calliblepharis
S45_FExFE	FExFE	Calliblepharis	Calliblepharis
S46_FExOP	FExOP	Calliblepharis	Osmundea
S47_FExOP	FExOP	Calliblepharis	Osmundea
S48_FExOP	FExOP	Calliblepharis	Osmundea
S49_FExCE	FExCE	Calliblepharis	Ceramium
